Step TotalEnergy PotentialEnergy KineticEnergy Temperature
790 -27703.039866424845968 -27725.735496312838222 22.695629887993749918 22.910471923180018905
800 -27702.398708248969342 -27725.681021387998044 23.282313139030335947 23.502708852360125746
810 -27702.087450298466138 -27725.625716362781532 23.538266064316189841 23.761084686710486125
820 -27702.037696415882237 -27725.569691707605671 23.531995291722964225 23.754754553546401752
830 -27701.828862567479518 -27725.54023047982264 23.71136791234339114 23.935825156512372303
840 -27701.490146595686383 -27725.454941393705667 23.96479479801842416 24.1916510391818953
850 -27700.984042247891921 -27725.395296652459365 24.411254404566030018 24.642336934709913265
860 -27700.617694521573867 -27725.334206850107876 24.716512328534239629 24.950484500162659174
870 -27700.458980114119186 -27725.271380032259913 24.812399918139242061 25.047279783671797304
880 -27700.106017046433408 -27725.182590009491832 25.076572963056612764 25.313953551190458313
890 -27699.760551355175267 -27725.089810959863826 25.329259604688552088 25.56903218249708587
900 -27699.125275057715044 -27724.993549444734526 25.868274387020264271 26.113149402320203762
910 -27698.61062015605421 -27724.925090766861103 26.314470610808545104 26.563569421847322616
920 -27698.049128191865748 -27724.800150493283581 26.751022301416433891 27.004253610832080312
930 -27698.099506454189395 -27724.729355167444737 26.62984871325436842 26.881932965707065364
940 -27697.734258941025473 -27724.659811704732419 26.925552763708623161 27.18043621848907776
950 -27697.287551122008153 -27724.586319278423616 27.298768156417033026 27.557184553659453741
960 -27696.868731610018585 -27724.539409166885889 27.670677556868323421 27.932614533750619756
970 -27696.726288808695244 -27724.463899138474517 27.737610329780583385 28.000180907634703686
980 -27696.684418070733955 -27724.415135362276487 27.730717291542600123 27.993222618316622174
990 -27696.350919467880885 -27724.338029381895467 27.987109914016201628 28.252042312129102442
1000 -27696.243216361264786 -27724.260076694263262 28.016860332997808314 28.282074355396673582
1010 -27695.683172801920591 -27724.153970862935239 28.470798061014150449 28.740309162005509336
1020 -27695.649504573473678 -27724.072202514529636 28.422697941055702131 28.691753715285230442
1030 -27695.029436524237099 -27723.96407130964144 28.934634785402568724 29.208536671155290065
1040 -27695.015619824251189 -27723.912374044906755 28.896754220654759848 29.170297520297971516
1050 -27694.76005835883916 -27723.858127025301656 29.098068666463237975 29.373517654799087495
1060 -27694.606815869967249 -27723.747442647400021 29.140626777434022188 29.416478630604192546
1070 -27694.221740849490743 -27723.636918618743948 29.415177769253237017 29.693628585049076207
1080 -27694.07953540489325 -27723.552890999817464 29.473355594925799039 29.752357135355932627
1090 -27693.64591048947841 -27723.467987089105009 29.822076599626562654 30.104379213026774664
1100 -27693.59187840366576 -27723.379025207555969 29.787146803889200442 30.069118763835778196
1110 -27693.634434994593903 -27723.264474366937065 29.630039372343517812 29.910524117328328941
1120 -27693.660888274855097 -27723.178362475657195 29.517474200800947415 29.796893378067888847
1130 -27693.834270796425699 -27723.120824582962086 29.28655378653583341 29.563787018225959002
1140 -27693.07695495110238 -27722.833527410384704 29.756572459282121912 30.038254995473891995
1150 -27686.909190350226709 -27721.899351510473934 34.990161160245939698 35.321386046810538062
1160 -27680.372928230437537 -27720.873547830935422 40.500619600498971806 40.884007749857147473
1170 -27675.794184708625835 -27719.800697496990324 44.006512788365711231 44.423088526318885272
1180 -27668.710728091518831 -27718.728343733055226 50.017615641534746374 50.491093857060128869
1190 -27662.428596960122377 -27717.38618880960712 54.957591849485140756 55.47783301221778629
1200 -27656.333855065589887 -27715.804934220293944 59.471079154705300596 60.034046022925146247
1210 -27651.04916329673506 -27714.270074214255146 63.220910917519454131 63.819374552804369216
1220 -27645.048112193660927 -27712.624819315762579 67.576707122103343295 68.216403722768276907
1230 -27640.281773804912518 -27710.883646536432934 70.601872731522178128 71.270206243324210504
1240 -27637.974870541293058 -27709.244414904933365 71.269544363641145424 71.944198208167520647
1250 -27633.423191262805631 -27707.761503233363328 74.338311970555935204 75.042015472722880531
1260 -27631.533424585442845 -27706.439084394223755 74.905659808782388609 75.614733955642819296
1270 -27628.329775914695347 -27705.171960050956841 76.842184136262190464 77.569589866328570338
1280 -27623.571522797949001 -27703.890448141930392 80.318925343982400022 81.079242703317021324
1290 -27619.796701125600521 -27702.477837575603189 82.681136450002796323 83.463815041171983466
1300 -27616.809715864725149 -27701.176375330775045 84.3666594660504785 85.165293604472950051
1310 -27613.680234312789253 -27699.835701726253319 86.155467413463824755 86.971034817976558884
